,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
12,Startup_13,HealthTech,5,1818562344.1,4835268340.067286,14,China,2000,105.73
27,Startup_28,EdTech,5,440011615.23,1565465840.3469183,9,China,2013,146.55
31,Startup_32,E-commerce,1,4294449811.39,20891484639.41212,8,China,2019,91.51
56,Startup_57,SaaS,1,4360313592.0,9907684658.828943,37,China,2019,160.82
64,Startup_65,AI,3,4815534280.92,20158491149.734688,45,China,2008,25.42
84,Startup_85,Biotech,5,2447270415.5,8095858828.067322,27,China,2021,129.03
88,Startup_89,SaaS,9,1054977036.09,3208096453.804389,31,China,2005,157.79
91,Startup_92,Blockchain,7,1868556515.9,5626482827.87125,48,China,2006,74.81
123,Startup_124,AI,4,4058325476.85,10666646232.548092,3,China,2014,172.42
136,Startup_137,Biotech,9,1946598865.69,3284018974.773792,47,China,2017,101.04
137,Startup_138,Fintech,8,1489972758.45,6800634564.458862,27,China,2022,35.29
146,Startup_147,SaaS,9,4769084379.19,14035036447.835238,41,China,2021,192.97
159,Startup_160,AI,8,4661985381.5,22098096261.67553,43,China,2012,51.38
170,Startup_171,E-commerce,6,4069844380.58,10407319506.51487,24,China,2015,29.38
193,Startup_194,AI,6,1512009898.68,5283177735.6817,8,China,2003,14.29
212,Startup_213,AI,5,2787690069.46,10481365711.53888,45,China,2009,10.48
213,Startup_214,EdTech,9,2679394095.8,11494147053.679377,10,China,2010,165.9
215,Startup_216,Biotech,9,2577216182.09,12253644328.4305,28,China,2016,140.7
216,Startup_217,Biotech,4,4445077510.45,22111913741.370216,43,China,2018,141.44
220,Startup_221,Fintech,10,2390702822.95,9276016886.419264,42,China,2010,104.42
221,Startup_222,Biotech,7,3377630330.67,9382352167.435171,4,China,2018,153.71
228,Startup_229,EdTech,8,386027409.33,1930125716.325296,26,China,2016,105.83
262,Startup_263,Biotech,4,1227999591.44,3925379084.685615,7,China,2003,56.28
263,Startup_264,SaaS,5,2383040228.11,5541034771.25569,14,China,2010,158.96
283,Startup_284,AI,9,3446049313.9,14038594476.505713,46,China,2003,154.18
333,Startup_334,Biotech,9,4369722781.87,12890999403.115965,45,China,2002,7.45
340,Startup_341,Fintech,5,4227877500.87,17362043767.366177,28,China,2014,174.26
353,Startup_354,SaaS,1,3511025818.67,6984359727.461807,7,China,2005,72.78
355,Startup_356,HealthTech,5,2372278462.7,9754796016.215675,1,China,2002,96.85
374,Startup_375,Biotech,3,4871984847.89,15853976426.639423,48,China,2000,141.04
