,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
64,Startup_65,AI,3,4815534280.92,20158491149.734688,45,China,2008,25.42
123,Startup_124,AI,4,4058325476.85,10666646232.548092,3,China,2014,172.42
159,Startup_160,AI,8,4661985381.5,22098096261.67553,43,China,2012,51.38
193,Startup_194,AI,6,1512009898.68,5283177735.6817,8,China,2003,14.29
212,Startup_213,AI,5,2787690069.46,10481365711.53888,45,China,2009,10.48
283,Startup_284,AI,9,3446049313.9,14038594476.505713,46,China,2003,154.18
384,Startup_385,AI,10,1070044442.74,3072483280.162908,27,China,2023,43.38
415,Startup_416,AI,4,2952078433.3,7063596817.003706,14,China,2011,144.42
453,Startup_454,AI,5,3859154912.52,10612758532.76294,8,China,2000,138.53
593,Startup_594,AI,5,1945975740.72,6387985660.552797,33,China,2001,26.59
666,Startup_667,AI,2,2861228558.29,7492037691.908441,4,China,2014,198.19
679,Startup_680,AI,6,1342699273.56,3122598645.8024178,21,China,2000,186.79
771,Startup_772,AI,10,3857112593.8,19237200949.4384,2,China,2014,186.36
843,Startup_844,AI,7,3867321960.54,8539303988.754012,1,China,2006,97.26
925,Startup_926,AI,8,2731808996.8,8920548333.14751,25,China,2008,58.22
985,Startup_986,AI,9,1556488145.65,5888882903.152295,15,China,2006,179.26
1012,Startup_1013,AI,5,2031988628.85,7825980800.799216,17,China,2013,67.54
1072,Startup_1073,AI,2,2770158653.21,13355568022.18534,34,China,2006,197.25
1166,Startup_1167,AI,2,3107407419.1,8852918681.956612,33,China,2000,45.6
1251,Startup_1252,AI,1,2252447364.1,11259922120.352455,19,China,2008,46.49
1427,Startup_1428,AI,6,3518833517.01,10726270703.360489,23,China,2007,35.44
1438,Startup_1439,AI,9,465946098.27,2164698465.2200274,15,China,2002,55.44
1512,Startup_1513,AI,1,2887716158.37,9466614727.126642,12,China,2013,176.98
1515,Startup_1516,AI,8,3092050980.63,10705875247.365362,4,China,2001,23.94
1627,Startup_1628,AI,5,788303831.78,2937869183.139797,25,China,2020,66.59
1644,Startup_1645,AI,5,2931622738.08,5674496665.542737,5,China,2001,169.22
1705,Startup_1706,AI,2,4740632224.44,13748864200.905226,13,China,2011,139.35
1736,Startup_1737,AI,9,4598505777.87,8956127860.525154,23,China,2020,188.03
1838,Startup_1839,AI,5,1364024197.38,2984157973.901398,23,China,2005,31.37
1851,Startup_1852,AI,10,4199631015.67,20469672294.94207,37,China,2016,34.66
1894,Startup_1895,AI,6,1721467663.17,4930949453.406467,36,China,2009,128.93
1896,Startup_1897,AI,2,2127866252.82,9946272286.779158,13,China,2007,61.87
1920,Startup_1921,AI,7,4333256138.49,13968734717.162949,30,China,2015,16.29
1989,Startup_1990,AI,4,1181411582.05,5857978307.270055,44,China,2013,24.47
2022,Startup_2023,AI,8,152332999.05,515819769.4183408,27,China,2013,28.05
2138,Startup_2139,AI,1,383265145.41,1757761360.4398916,36,China,2001,113.38
2183,Startup_2184,AI,3,4486574541.55,8228887546.353085,45,China,2022,40.68
2186,Startup_2187,AI,6,439288074.42,725571067.1794933,40,China,2004,46.82
2265,Startup_2266,AI,10,3092974350.44,8344012211.24767,10,China,2023,79.65
2479,Startup_2480,AI,2,663835450.03,1484716395.714415,3,China,2017,103.91
2508,Startup_2509,AI,6,4112616793.03,19504799531.617283,41,China,2013,71.06
2546,Startup_2547,AI,2,1549664094.52,3388819844.4095592,37,China,2003,44.84
2735,Startup_2736,AI,8,3574914491.14,14854242865.472967,15,China,2016,161.63
2802,Startup_2803,AI,7,2695070596.39,10719632305.899551,49,China,2018,105.39
2918,Startup_2919,AI,9,2623575165.72,9067181139.105207,13,China,2005,67.35
2952,Startup_2953,AI,6,100374390.2,283660239.1972376,37,China,2015,77.16
3262,Startup_3263,AI,7,382372933.23,634162724.6523468,25,China,2008,38.29
3416,Startup_3417,AI,3,4621775411.32,11148890455.242022,13,China,2000,73.54
3599,Startup_3600,AI,8,2750455768.64,10143209811.082432,8,China,2001,178.82
3635,Startup_3636,AI,8,2610171539.83,6387601831.016027,25,China,2021,147.61
3729,Startup_3730,AI,5,3191866310.09,10714923041.892874,27,China,2003,164.32
3738,Startup_3739,AI,4,3371515293.99,6917222003.338431,23,China,2020,157.31
3841,Startup_3842,AI,5,23756435.77,62690091.9532441,49,China,2008,197.48
3853,Startup_3854,AI,5,3467811894.68,7582656560.604021,44,China,2009,42.42
3939,Startup_3940,AI,2,3413488366.57,7378141568.85908,15,China,2012,77.79
4008,Startup_4009,AI,5,128208834.39,398934150.2971828,47,China,2020,24.42
4244,Startup_4245,AI,5,3258075499.28,11124456130.621515,22,China,2018,149.67
4260,Startup_4261,AI,3,3379576695.63,15530263322.702663,31,China,2009,46.12
4306,Startup_4307,AI,6,2371633814.26,8931508874.424805,40,China,2011,29.46
4474,Startup_4475,AI,5,4831207632.43,15083861701.02825,21,China,2013,30.49
4607,Startup_4608,AI,5,2670238116.55,11721977034.783344,7,China,2020,144.93
