,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
0,Startup_1,Blockchain,8,1335165853.1,6621448041.824468,50,Germany,2012,77.1
24,Startup_25,E-commerce,8,288205121.58,1415080231.4529824,22,Germany,2021,176.28
26,Startup_27,Biotech,2,4166499162.52,16357699018.240278,22,Germany,2002,82.81
30,Startup_31,AI,9,4705042824.65,17203808326.963245,35,Germany,2002,87.95
32,Startup_33,AI,7,2867170174.15,6499884835.941129,27,Germany,2019,83.3
47,Startup_48,E-commerce,2,475269528.08,2223977127.625992,49,Germany,2012,48.13
54,Startup_55,HealthTech,2,3604778899.84,16922409671.52045,3,Germany,2018,71.9
57,Startup_58,HealthTech,6,2028361128.74,6102998475.328899,29,Germany,2009,119.37
78,Startup_79,Fintech,8,2749898672.7,5542968257.287758,9,Germany,2011,189.55
85,Startup_86,Biotech,7,2407386442.25,8783700785.20548,10,Germany,2002,182.23
106,Startup_107,SaaS,7,1862792339.72,8231911404.888959,25,Germany,2013,151.19
107,Startup_108,SaaS,3,2793350138.78,6641452650.349066,24,Germany,2012,169.31
114,Startup_115,SaaS,6,1207908188.67,5176553240.218474,24,Germany,2018,135.34
116,Startup_117,HealthTech,5,297037415.8,631590080.9830602,27,Germany,2022,10.75
129,Startup_130,Biotech,10,1485976623.94,5820844542.537277,40,Germany,2017,112.16
133,Startup_134,Blockchain,1,3353919321.47,14101768667.1437,30,Germany,2008,77.07
145,Startup_146,Fintech,9,3908318141.0,15444336263.034132,31,Germany,2018,142.43
154,Startup_155,Blockchain,1,821122733.28,3928588827.501104,26,Germany,2019,198.98
163,Startup_164,E-commerce,8,2579938016.52,12689109686.17389,28,Germany,2018,124.32
175,Startup_176,E-commerce,10,3023593160.48,9708896500.831356,2,Germany,2011,174.66
177,Startup_178,Blockchain,8,2639730016.81,8690078938.976686,50,Germany,2023,190.91
179,Startup_180,Biotech,5,4585075338.58,19523891245.314205,36,Germany,2002,129.84
184,Startup_185,E-commerce,10,2159651827.77,9752567479.614511,4,Germany,2013,119.32
187,Startup_188,AI,3,933765489.98,3396760378.712497,35,Germany,2012,38.02
196,Startup_197,E-commerce,9,4179505137.7,8856665634.205921,29,Germany,2000,75.7
199,Startup_200,SaaS,6,1475455253.97,3684352503.897161,4,Germany,2013,144.69
226,Startup_227,Fintech,2,3823899177.04,18201047898.48335,50,Germany,2005,103.9
232,Startup_233,HealthTech,9,1075247880.98,4790224564.962256,11,Germany,2015,130.56
256,Startup_257,AI,10,1374644681.58,6097130881.918044,38,Germany,2000,14.04
257,Startup_258,EdTech,4,1750123034.6,4508754227.434159,27,Germany,2001,167.53
261,Startup_262,EdTech,5,3564928262.83,16855295900.778051,19,Germany,2011,129.82
265,Startup_266,E-commerce,9,2078074160.43,3660002170.209521,23,Germany,2022,70.97
278,Startup_279,AI,7,3426004016.16,10176253842.544352,36,Germany,2015,84.19
289,Startup_290,HealthTech,2,2815145008.41,7938799567.465303,42,Germany,2009,110.84
317,Startup_318,Biotech,2,572692370.7,1282025513.3827472,24,Germany,2015,125.51
327,Startup_328,EdTech,8,4111180278.29,7725412065.470565,42,Germany,2019,9.13
361,Startup_362,E-commerce,4,1819132027.73,4360825655.270868,34,Germany,2000,63.48
364,Startup_365,HealthTech,1,3223093026.56,5060395685.452115,26,Germany,2017,54.91
365,Startup_366,AI,8,2095633329.76,3302567190.481243,28,Germany,2013,73.14
401,Startup_402,SaaS,10,4855139523.89,13579704354.94814,29,Germany,2021,166.68
402,Startup_403,HealthTech,2,4786446143.66,18773805724.28836,20,Germany,2020,52.71
406,Startup_407,SaaS,5,1269724893.86,6075935621.011181,5,Germany,2009,144.33
408,Startup_409,Fintech,10,2243792909.57,8278832692.441977,3,Germany,2004,67.91
410,Startup_411,Fintech,8,2208248011.56,8916513879.484732,11,Germany,2016,44.29
429,Startup_430,Blockchain,2,112547879.91,388822148.3948019,41,Germany,2022,31.72
430,Startup_431,HealthTech,6,2244276648.36,7077226078.374871,45,Germany,2005,145.9
438,Startup_439,E-commerce,6,2894154275.18,9703034698.987917,37,Germany,2020,81.35
449,Startup_450,Biotech,7,4016725392.53,12219118063.44024,32,Germany,2002,56.59
450,Startup_451,HealthTech,8,3871723883.68,8476805524.184701,25,Germany,2018,180.66
451,Startup_452,Blockchain,9,3274124585.26,8903440127.384064,37,Germany,2019,186.26
455,Startup_456,AI,6,1757269247.4,5869476861.449038,3,Germany,2018,138.28
459,Startup_460,Blockchain,8,3962669224.5,8376071870.852643,48,Germany,2010,158.88
467,Startup_468,Blockchain,5,760157307.34,3325889402.099418,6,Germany,2018,194.79
470,Startup_471,Biotech,8,3988504694.4,7906569128.605539,45,Germany,2005,79.65
501,Startup_502,E-commerce,6,3987453563.84,18524621284.26649,37,Germany,2004,12.41
504,Startup_505,HealthTech,1,1022641302.94,2383622908.3670955,37,Germany,2001,189.17
508,Startup_509,SaaS,6,4461972541.33,7421407024.165008,9,Germany,2016,73.6
519,Startup_520,HealthTech,6,942385909.64,3952743542.87774,13,Germany,2007,155.78
535,Startup_536,AI,6,2992657495.51,13479671834.971975,40,Germany,2006,57.32
549,Startup_550,SaaS,6,2826349447.28,13581487933.154951,41,Germany,2010,199.77
556,Startup_557,Biotech,10,2107626492.62,4009757128.236301,2,Germany,2004,10.75
579,Startup_580,EdTech,10,1902394906.9,5197525014.494097,38,Germany,2008,80.16
581,Startup_582,EdTech,6,272672294.17,1317377187.0900955,20,Germany,2016,136.6
596,Startup_597,Biotech,5,112134188.11,359019883.58722544,39,Germany,2021,167.8
598,Startup_599,AI,2,1043582080.79,4589255776.980415,12,Germany,2004,110.35
606,Startup_607,AI,6,858555832.29,3179629611.900825,5,Germany,2005,117.75
612,Startup_613,AI,10,1313001482.0,5810995416.453239,20,Germany,2000,96.25
617,Startup_618,Fintech,3,4923047517.85,16208625404.835924,43,Germany,2019,147.53
620,Startup_621,Biotech,6,1409499081.18,6904041933.868912,31,Germany,2001,54.05
628,Startup_629,HealthTech,7,4933619688.3,7934799520.239831,26,Germany,2007,126.1
630,Startup_631,HealthTech,7,2580150498.9,7546592865.421549,12,Germany,2021,191.27
633,Startup_634,EdTech,9,3931296665.8,7565826718.443208,2,Germany,2006,16.62
648,Startup_649,E-commerce,8,4267608249.76,9175582845.895555,44,Germany,2004,30.29
670,Startup_671,EdTech,1,600660127.02,2865888624.5607543,33,Germany,2001,116.21
675,Startup_676,HealthTech,5,3267298490.47,9320938169.492086,35,Germany,2022,198.2
686,Startup_687,Blockchain,7,639770923.42,1146941983.5571816,47,Germany,2016,179.69
690,Startup_691,E-commerce,2,189033209.69,822666374.839744,6,Germany,2009,89.08
695,Startup_696,Fintech,5,3690814624.21,6998389579.704289,14,Germany,2004,57.31
698,Startup_699,Biotech,2,887725764.87,1795004894.162442,24,Germany,2015,111.53
700,Startup_701,EdTech,7,1519129850.55,6519210332.338275,38,Germany,2021,198.59
705,Startup_706,AI,10,2380507946.21,5022511921.464435,8,Germany,2023,34.11
726,Startup_727,EdTech,6,3332676427.61,15432752343.756788,3,Germany,2016,41.21
745,Startup_746,Blockchain,4,1794469639.32,5455291714.667747,6,Germany,2002,197.53
754,Startup_755,Biotech,7,2266931758.18,8067665221.463452,26,Germany,2004,125.84
761,Startup_762,Biotech,2,1186730719.04,4423525150.105981,22,Germany,2023,108.62
764,Startup_765,Fintech,7,712627979.63,3241180304.55734,28,Germany,2004,97.17
768,Startup_769,E-commerce,3,1782762826.31,4181657611.927329,13,Germany,2023,184.1
804,Startup_805,HealthTech,1,3347822769.08,12295999194.034456,18,Germany,2023,155.32
807,Startup_808,HealthTech,4,88082412.36,403191531.9483544,35,Germany,2002,150.13
810,Startup_811,Fintech,9,589413680.67,1668240220.6561208,31,Germany,2003,110.51
817,Startup_818,SaaS,6,1750469096.96,2721957328.4521866,34,Germany,2000,129.52
824,Startup_825,AI,6,4586699946.29,19682330326.7939,37,Germany,2003,69.79
840,Startup_841,EdTech,9,1152819067.29,3548591788.3572845,12,Germany,2014,118.53
847,Startup_848,Blockchain,4,42886462.35,110959029.33909602,45,Germany,2019,148.32
855,Startup_856,Fintech,9,2484586807.64,9879870115.144356,19,Germany,2012,178.72
861,Startup_862,AI,6,4587590977.53,7276051681.705276,18,Germany,2002,23.68
865,Startup_866,E-commerce,2,3099715966.49,14601101823.561275,18,Germany,2023,185.51
866,Startup_867,SaaS,4,3080340948.04,11769255258.599726,30,Germany,2013,180.73
882,Startup_883,SaaS,6,1126128239.2,5364102027.049855,37,Germany,2017,161.9
897,Startup_898,Fintech,5,4300074658.17,14423181396.912878,26,Germany,2000,52.74
898,Startup_899,Biotech,1,4081238216.2,9160567866.195358,19,Germany,2017,33.42
924,Startup_925,Blockchain,10,1388849829.39,4779846928.421488,31,Germany,2010,15.42
931,Startup_932,AI,1,4377470007.44,7136625120.849482,32,Germany,2012,187.56
933,Startup_934,Blockchain,2,3689264435.57,9477815353.053932,19,Germany,2008,156.34
937,Startup_938,AI,9,4014044143.59,16914285764.443493,29,Germany,2015,32.07
939,Startup_940,HealthTech,5,3750039567.67,18589682684.31101,29,Germany,2001,99.99
948,Startup_949,EdTech,4,1502364818.97,3931654565.7859616,34,Germany,2003,69.66
953,Startup_954,Biotech,1,3738175348.1,6484735741.051487,24,Germany,2011,159.48
966,Startup_967,HealthTech,3,3144490139.66,9779923107.18972,41,Germany,2017,100.35
972,Startup_973,SaaS,2,173957990.51,587549110.8676021,40,Germany,2003,114.9
1029,Startup_1030,E-commerce,6,753218134.38,3184983760.845649,17,Germany,2022,186.63
1051,Startup_1052,Blockchain,8,4250795899.43,7400427740.346785,34,Germany,2020,112.79
1063,Startup_1064,E-commerce,10,3696218297.37,6957983875.776324,45,Germany,2008,175.01
1106,Startup_1107,Biotech,7,2061237991.42,9925452462.07077,11,Germany,2022,80.36
1121,Startup_1122,Biotech,9,4314683894.8,17007880209.795467,37,Germany,2006,13.57
1122,Startup_1123,E-commerce,10,4377953607.62,19407712192.0484,45,Germany,2018,134.49
