,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
4,Startup_5,EdTech,9,1645080294.64,6887965942.865217,48,India,2011,192.0
6,Startup_7,HealthTech,8,1349245127.85,2490393546.173328,24,India,2017,104.98
7,Startup_8,Blockchain,7,4128951425.92,16303568856.291613,24,India,2006,89.13
14,Startup_15,Blockchain,3,4195481545.25,13491122379.383991,24,India,2009,99.34
39,Startup_40,AI,1,2751786274.72,8856652982.291237,14,India,2005,97.9
65,Startup_66,AI,6,365913860.56,1672037254.1104138,21,India,2017,144.35
73,Startup_74,Fintech,3,491018020.84,1354841679.996854,20,India,2013,165.57
74,Startup_75,Biotech,1,1582882524.88,5586959852.453201,16,India,2020,144.16
77,Startup_78,HealthTech,8,4940530156.26,23772801009.3952,14,India,2021,108.11
79,Startup_80,E-commerce,8,4533989298.71,8054285187.148059,22,India,2005,69.71
141,Startup_142,HealthTech,5,1977534387.2,7797893013.34299,19,India,2005,181.97
148,Startup_149,SaaS,2,910772164.92,1496492548.4850855,8,India,2013,36.1
152,Startup_153,Biotech,10,2136105819.3,6159536137.742708,12,India,2020,69.58
156,Startup_157,AI,4,2804170174.14,6711381134.882058,1,India,2008,49.31
168,Startup_169,EdTech,1,1497188953.5,3463957403.9899683,4,India,2013,84.16
174,Startup_175,Fintech,10,2163501159.34,5677567960.275496,23,India,2018,144.39
198,Startup_199,Fintech,5,633792175.1,2966463386.11733,34,India,2015,91.34
204,Startup_205,SaaS,1,1550418955.9,6253327057.39936,2,India,2004,98.86
210,Startup_211,EdTech,6,4645711353.76,14179348714.21508,24,India,2021,177.87
214,Startup_215,EdTech,7,439284861.62,1562829428.652782,27,India,2019,106.86
224,Startup_225,Biotech,7,3632948850.48,13901643179.468462,6,India,2010,26.01
227,Startup_228,EdTech,8,363240396.83,1219367670.2405694,25,India,2011,102.15
240,Startup_241,EdTech,10,1017523655.27,3688922130.492111,33,India,2022,158.64
246,Startup_247,Biotech,4,2271018470.67,4837009968.866991,48,India,2016,105.47
251,Startup_252,AI,4,4346289463.85,7001483722.25389,28,India,2021,149.6
280,Startup_281,Biotech,9,4429201419.3,12868229775.431149,33,India,2006,5.06
298,Startup_299,Blockchain,9,1196962004.3,2365314262.253188,17,India,2012,100.81
302,Startup_303,AI,6,3071473663.91,12822732523.985054,27,India,2005,45.14
315,Startup_316,AI,7,3064309690.41,6281758015.426949,14,India,2019,63.07
337,Startup_338,SaaS,6,4663152865.68,22805435916.671467,18,India,2015,118.11
339,Startup_340,AI,2,1003881232.9,2796426952.4276423,1,India,2016,138.0
345,Startup_346,HealthTech,9,3175452268.55,10934068071.67479,35,India,2015,43.05
375,Startup_376,Biotech,9,1855420999.01,5533572287.917109,3,India,2017,196.74
377,Startup_378,HealthTech,1,979033129.98,2498906978.6382327,20,India,2012,170.68
380,Startup_381,AI,1,3132685185.72,13178905501.85222,10,India,2011,184.37
407,Startup_408,Biotech,3,775342019.78,2463185969.99567,6,India,2015,22.55
431,Startup_432,HealthTech,3,4223570525.92,11559331839.830711,22,India,2003,44.55
436,Startup_437,Blockchain,10,124002994.45,560913136.8826532,21,India,2002,82.19
439,Startup_440,Fintech,7,3909585814.32,13218486616.395784,27,India,2003,62.02
440,Startup_441,SaaS,9,3865276226.89,19324357005.74412,4,India,2004,129.09
458,Startup_459,HealthTech,9,523520244.62,1055415336.4315542,12,India,2014,30.97
473,Startup_474,SaaS,5,4813588032.68,7258537239.877182,17,India,2014,62.14
478,Startup_479,AI,4,1508068565.31,2787506789.72622,50,India,2002,121.98
479,Startup_480,AI,7,1624441683.51,5743476560.111121,33,India,2008,76.65
487,Startup_488,EdTech,3,1254202303.54,6172130469.546432,24,India,2017,170.44
490,Startup_491,AI,10,4870176350.89,21060386398.613724,33,India,2003,55.97
505,Startup_506,Biotech,2,221947295.06,481966079.791826,6,India,2015,154.91
507,Startup_508,SaaS,4,4613500462.81,13445442007.337765,12,India,2020,101.42
530,Startup_531,EdTech,7,1325484889.59,4054970962.46468,35,India,2003,197.47
532,Startup_533,EdTech,3,3156718554.88,5499558878.377225,38,India,2017,179.07
540,Startup_541,Fintech,3,3791706301.65,8416809238.987394,8,India,2016,40.64
548,Startup_549,HealthTech,10,2491937627.93,10351195646.475042,45,India,2005,38.45
550,Startup_551,HealthTech,8,2907899568.9,13694235400.720036,11,India,2011,108.84
551,Startup_552,E-commerce,8,3722720410.15,6426399994.730269,22,India,2017,5.66
553,Startup_554,HealthTech,10,4804916441.41,16765883291.596834,50,India,2000,151.63
564,Startup_565,Biotech,10,3058539134.98,7335810498.359131,45,India,2005,181.21
589,Startup_590,E-commerce,4,173470618.67,859667574.2784379,36,India,2007,108.65
615,Startup_616,SaaS,6,3245291726.67,8927507803.571407,48,India,2002,76.07
624,Startup_625,SaaS,7,4269169373.21,9706058206.900837,37,India,2018,80.87
631,Startup_632,Biotech,3,189344801.55,832951931.8205307,28,India,2005,56.45
643,Startup_644,AI,10,4286706072.0,10995662254.967136,13,India,2001,31.37
646,Startup_647,AI,2,3176184249.54,10051587823.846577,28,India,2010,190.62
667,Startup_668,Blockchain,1,3389356822.03,15317925954.390488,11,India,2005,132.64
697,Startup_698,EdTech,6,2399793008.88,4997156953.974278,37,India,2022,83.82
703,Startup_704,HealthTech,4,3575059268.99,8052581192.562832,30,India,2023,98.75
709,Startup_710,SaaS,1,3340949323.77,13464602734.607595,19,India,2003,55.25
710,Startup_711,SaaS,5,78637534.66,372803982.6236131,20,India,2011,147.43
716,Startup_717,E-commerce,9,3444311714.14,17055895312.943296,9,India,2010,76.37
732,Startup_733,E-commerce,6,1432059069.56,4767869000.382649,34,India,2023,93.76
746,Startup_747,EdTech,3,438599976.49,1705156919.6442647,9,India,2006,129.29
758,Startup_759,E-commerce,1,1334730352.82,2155732435.5669074,13,India,2023,137.24
767,Startup_768,HealthTech,10,288363764.13,760022416.1311969,29,India,2010,128.38
773,Startup_774,SaaS,5,4785225036.59,20268954491.519745,47,India,2007,10.63
806,Startup_807,Blockchain,6,4012132675.84,15941960898.23451,11,India,2012,85.38
813,Startup_814,E-commerce,5,368353992.41,969553026.1304598,37,India,2016,153.3
822,Startup_823,Biotech,8,3289096594.76,12081019076.909506,10,India,2020,178.71
