,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
4,Startup_5,EdTech,9,1645080294.64,6887965942.865217,48,India,2011,192.0
168,Startup_169,EdTech,1,1497188953.5,3463957403.9899683,4,India,2013,84.16
210,Startup_211,EdTech,6,4645711353.76,14179348714.21508,24,India,2021,177.87
214,Startup_215,EdTech,7,439284861.62,1562829428.652782,27,India,2019,106.86
227,Startup_228,EdTech,8,363240396.83,1219367670.2405694,25,India,2011,102.15
240,Startup_241,EdTech,10,1017523655.27,3688922130.492111,33,India,2022,158.64
487,Startup_488,EdTech,3,1254202303.54,6172130469.546432,24,India,2017,170.44
530,Startup_531,EdTech,7,1325484889.59,4054970962.46468,35,India,2003,197.47
532,Startup_533,EdTech,3,3156718554.88,5499558878.377225,38,India,2017,179.07
697,Startup_698,EdTech,6,2399793008.88,4997156953.974278,37,India,2022,83.82
746,Startup_747,EdTech,3,438599976.49,1705156919.6442647,9,India,2006,129.29
1081,Startup_1082,EdTech,10,197478247.72,727327914.6664147,41,India,2020,97.37
1089,Startup_1090,EdTech,9,3369033608.0,10168496271.882622,44,India,2000,14.71
1214,Startup_1215,EdTech,2,2436408210.88,4692198036.348744,49,India,2001,178.45
1224,Startup_1225,EdTech,2,961523412.82,4065442903.24488,42,India,2013,84.0
1226,Startup_1227,EdTech,6,3651896591.65,17659527292.0952,21,India,2018,85.81
1241,Startup_1242,EdTech,4,2816896880.99,5121926972.630684,7,India,2015,153.91
1594,Startup_1595,EdTech,6,1142746381.41,3294844147.161944,30,India,2016,184.85
1680,Startup_1681,EdTech,1,4386035955.61,8146909293.303509,32,India,2003,185.74
1698,Startup_1699,EdTech,1,2412850903.23,6279824526.760417,48,India,2021,135.45
1737,Startup_1738,EdTech,10,1734629805.55,8414877007.871922,47,India,2009,71.56
1766,Startup_1767,EdTech,10,1092525700.05,4411536158.520741,23,India,2022,121.9
1780,Startup_1781,EdTech,8,743829669.78,1743075033.768574,17,India,2009,97.25
1827,Startup_1828,EdTech,3,527410703.53,992172823.9534222,16,India,2012,105.87
1868,Startup_1869,EdTech,9,4283055681.98,7143213933.564775,40,India,2001,79.95
1994,Startup_1995,EdTech,2,1410269105.1,6521830765.299062,10,India,2010,17.17
2077,Startup_2078,EdTech,9,4697181013.96,22782112129.51199,16,India,2011,5.14
2082,Startup_2083,EdTech,3,4767444957.98,13510471394.244518,6,India,2016,77.46
2267,Startup_2268,EdTech,9,4403430495.83,10334572979.032349,20,India,2013,173.33
2430,Startup_2431,EdTech,8,2672207973.73,6317993694.089036,22,India,2009,189.45
2487,Startup_2488,EdTech,8,2918233133.63,8014367903.489044,36,India,2019,102.25
2502,Startup_2503,EdTech,4,815645303.3,2193151600.0210423,21,India,2000,16.45
2510,Startup_2511,EdTech,4,2462029778.93,12058675508.684875,15,India,2005,137.69
2534,Startup_2535,EdTech,6,2492726931.4,10618586665.010632,43,India,2012,99.04
2665,Startup_2666,EdTech,9,2167353310.25,8340251500.155199,10,India,2010,47.97
2675,Startup_2676,EdTech,4,2570179771.52,9374909963.664371,29,India,2005,85.47
2833,Startup_2834,EdTech,8,999672720.27,2410365794.006753,34,India,2001,78.93
2871,Startup_2872,EdTech,8,4344554820.87,14142521160.45289,2,India,2014,129.56
2875,Startup_2876,EdTech,5,2433022126.66,3662583475.893417,11,India,2020,107.7
3008,Startup_3009,EdTech,9,3505495994.36,6889429220.705545,7,India,2021,189.81
3056,Startup_3057,EdTech,1,1653060603.17,2940563177.0160184,40,India,2000,103.37
3104,Startup_3105,EdTech,7,4624656308.05,18658329529.52656,25,India,2008,95.47
3183,Startup_3184,EdTech,4,3791794909.54,16864301716.780975,25,India,2000,59.18
3223,Startup_3224,EdTech,1,2002674331.85,4866852826.068915,5,India,2011,15.39
3245,Startup_3246,EdTech,1,1475105306.95,7221845879.165668,40,India,2022,110.42
3287,Startup_3288,EdTech,2,4390615707.26,19332147623.23225,7,India,2009,123.8
3499,Startup_3500,EdTech,4,1239921741.92,4904631491.774445,44,India,2008,170.02
3749,Startup_3750,EdTech,1,3373588759.5,10575045280.119955,36,India,2015,49.39
3761,Startup_3762,EdTech,9,4156250282.58,9980666530.312511,15,India,2021,76.21
3855,Startup_3856,EdTech,2,549895958.3,1146457634.6857889,24,India,2012,177.84
