,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
9,Startup_10,Fintech,10,4865378632.8,18692791832.252808,31,USA,2000,31.16
23,Startup_24,AI,4,3021729517.51,5211428908.023629,2,USA,2014,114.99
28,Startup_29,E-commerce,3,3256022294.9,8096886148.448484,48,USA,2010,99.75
37,Startup_38,Fintech,6,2725867165.62,4089854368.774714,19,USA,2022,187.72
38,Startup_39,HealthTech,5,4790851851.76,22981467971.673523,20,USA,2001,33.71
43,Startup_44,SaaS,5,2767906479.48,11784319878.459991,17,USA,2005,153.61
51,Startup_52,Fintech,8,2321745880.25,6758206634.670489,32,USA,2000,192.74
52,Startup_53,Blockchain,10,675587864.57,1229453482.539445,26,USA,2014,139.82
63,Startup_64,E-commerce,3,4470788164.24,19418366785.32559,16,USA,2019,58.4
80,Startup_81,Biotech,8,844854106.72,2590555965.7149515,23,USA,2002,69.33
81,Startup_82,HealthTech,1,3631343014.13,7772600871.780343,34,USA,2010,28.16
90,Startup_91,SaaS,7,1480174017.83,6153889306.393388,24,USA,2016,159.77
92,Startup_93,HealthTech,4,4965764721.83,22063441300.70618,19,USA,2022,185.18
103,Startup_104,Biotech,1,4255546911.86,11515638960.56781,9,USA,2000,92.03
111,Startup_112,SaaS,6,3957776781.25,13305043815.736095,6,USA,2001,14.82
119,Startup_120,AI,1,2434425122.57,7540340367.746701,8,USA,2003,175.64
132,Startup_133,AI,9,2162442988.16,9684369294.297209,13,USA,2011,121.76
155,Startup_156,Biotech,5,4780102280.95,19249131120.151016,50,USA,2019,33.75
173,Startup_174,E-commerce,7,1246281478.08,3529517302.801452,44,USA,2022,146.5
182,Startup_183,Blockchain,2,859760107.91,3760108625.521585,19,USA,2006,69.53
189,Startup_190,HealthTech,1,443939762.53,697379814.5791141,33,USA,2023,102.51
205,Startup_206,Fintech,4,4746683505.45,7761659263.089046,24,USA,2016,130.02
207,Startup_208,Biotech,4,3348055915.81,11313994823.993387,39,USA,2004,16.08
225,Startup_226,AI,9,1266365818.93,6118534838.579055,35,USA,2015,42.96
229,Startup_230,AI,4,1695120557.5,5083482836.032983,1,USA,2004,100.82
238,Startup_239,HealthTech,7,4023736139.69,14714029689.870373,36,USA,2016,16.34
250,Startup_251,Blockchain,6,3000757848.42,5904647394.32909,21,USA,2017,88.31
254,Startup_255,AI,1,2063226365.66,7644608141.125145,14,USA,2015,156.25
258,Startup_259,Biotech,2,2332266749.1,11093368482.25781,38,USA,2015,8.66
274,Startup_275,E-commerce,1,1910177328.71,9043004199.518278,47,USA,2000,114.64
311,Startup_312,Fintech,10,2263649695.87,4120683165.2274914,39,USA,2023,26.96
336,Startup_337,Blockchain,6,1676572969.31,7753709293.744596,7,USA,2018,74.03
348,Startup_349,AI,6,62049936.48,130113624.99717878,19,USA,2011,117.19
354,Startup_355,EdTech,7,2547693389.83,11899602710.252306,50,USA,2008,145.64
356,Startup_357,Biotech,5,2172154534.84,5318543514.425768,9,USA,2019,26.91
369,Startup_370,HealthTech,4,308665901.04,666200580.6041939,1,USA,2008,32.66
372,Startup_373,SaaS,4,4685071784.91,8981836184.317614,34,USA,2009,60.57
373,Startup_374,SaaS,10,3250711927.97,8910023275.321978,43,USA,2017,167.03
394,Startup_395,SaaS,5,1339003057.49,5113318505.428127,29,USA,2009,97.58
398,Startup_399,SaaS,1,1158817154.11,2930971567.373052,8,USA,2021,145.12
416,Startup_417,Blockchain,8,1060931418.69,5217433413.210529,1,USA,2014,129.98
423,Startup_424,SaaS,10,705099744.86,2500255042.341249,47,USA,2010,28.22
445,Startup_446,AI,5,2862979566.46,10107492553.267197,5,USA,2012,142.21
447,Startup_448,E-commerce,4,1339619719.08,4018199278.799591,42,USA,2020,41.97
