,Startup Name,Industry,Funding Rounds,Investment Amount (USD),Valuation (USD),Number of Investors,Country,Year Founded,Growth Rate (%)
23,Startup_24,AI,4,3021729517.51,5211428908.023629,2,USA,2014,114.99
119,Startup_120,AI,1,2434425122.57,7540340367.746701,8,USA,2003,175.64
132,Startup_133,AI,9,2162442988.16,9684369294.297209,13,USA,2011,121.76
225,Startup_226,AI,9,1266365818.93,6118534838.579055,35,USA,2015,42.96
229,Startup_230,AI,4,1695120557.5,5083482836.032983,1,USA,2004,100.82
254,Startup_255,AI,1,2063226365.66,7644608141.125145,14,USA,2015,156.25
348,Startup_349,AI,6,62049936.48,130113624.99717878,19,USA,2011,117.19
445,Startup_446,AI,5,2862979566.46,10107492553.267197,5,USA,2012,142.21
689,Startup_690,AI,2,3689690359.24,8988173118.13967,43,USA,2013,131.08
719,Startup_720,AI,9,3442587076.73,13158374556.865644,39,USA,2000,113.54
742,Startup_743,AI,4,864883889.15,2533064140.1122017,45,USA,2007,101.65
871,Startup_872,AI,6,336103696.09,1477518611.2451098,2,USA,2001,82.66
960,Startup_961,AI,10,3718199851.53,8040288169.364024,16,USA,2020,97.75
1005,Startup_1006,AI,1,257087721.02,636471745.8856208,46,USA,2002,178.06
1168,Startup_1169,AI,3,2743730620.21,6235117152.174671,12,USA,2021,128.53
1303,Startup_1304,AI,4,4464998246.44,12753041808.536856,25,USA,2010,47.71
1349,Startup_1350,AI,8,4148421950.4,16862699828.12996,45,USA,2003,5.96
1485,Startup_1486,AI,5,1781280094.31,8211779478.270943,5,USA,2007,130.61
1508,Startup_1509,AI,6,3590460177.98,8105414590.2508545,43,USA,2021,65.23
1531,Startup_1532,AI,2,1669299838.76,6964781399.413122,13,USA,2015,84.82
1592,Startup_1593,AI,1,1727090113.1,2771657404.071063,50,USA,2016,82.21
1634,Startup_1635,AI,6,1050181625.75,4446152862.499595,11,USA,2001,155.12
1663,Startup_1664,AI,7,1106403991.44,2920605885.344648,46,USA,2013,195.91
1830,Startup_1831,AI,8,3189470067.18,8163776981.523526,31,USA,2015,134.2
1864,Startup_1865,AI,8,361591792.04,1465723913.0290835,40,USA,2019,157.05
2162,Startup_2163,AI,6,1623943233.23,2753310834.4894257,15,USA,2006,185.96
2170,Startup_2171,AI,6,3464137383.16,6885115064.135779,17,USA,2004,186.52
2204,Startup_2205,AI,9,2737988690.63,10132733356.387863,30,USA,2019,24.01
2291,Startup_2292,AI,8,1209541085.9,3133166371.8255496,18,USA,2006,27.67
2374,Startup_2375,AI,3,4914633559.03,24289247720.93922,20,USA,2007,31.96
2420,Startup_2421,AI,4,433819465.54,2070218587.0927,16,USA,2012,116.47
2595,Startup_2596,AI,2,834118422.16,4145312380.7832384,16,USA,2002,33.21
2795,Startup_2796,AI,10,3045765227.41,14887342555.21139,2,USA,2007,37.02
2824,Startup_2825,AI,8,1222141461.87,5582923121.250341,6,USA,2023,125.1
3170,Startup_3171,AI,7,1228269550.62,2606525301.541409,24,USA,2019,52.06
3405,Startup_3406,AI,6,4096530091.76,12732232164.238,40,USA,2015,170.4
3466,Startup_3467,AI,1,468346415.14,1954102609.882593,4,USA,2018,184.1
3490,Startup_3491,AI,1,3388060863.96,13003029739.401093,46,USA,2011,125.16
3587,Startup_3588,AI,6,147550940.39,345051453.12133366,11,USA,2019,137.85
3724,Startup_3725,AI,4,3723143041.22,16424720121.059835,13,USA,2009,103.61
3775,Startup_3776,AI,2,1892350897.9,8038209765.505919,41,USA,2007,169.85
3954,Startup_3955,AI,10,2000848698.51,9578149505.888529,19,USA,2017,121.63
3970,Startup_3971,AI,10,3216537788.43,5827626011.221421,35,USA,2015,126.89
4024,Startup_4025,AI,7,1133873551.2,5294126254.759209,21,USA,2013,17.56
4039,Startup_4040,AI,2,4544153981.85,21344746426.03408,48,USA,2017,92.91
4252,Startup_4253,AI,5,4445995076.97,16366431631.29372,30,USA,2007,173.18
4307,Startup_4308,AI,1,994903737.83,2292626681.873699,33,USA,2000,50.73
4313,Startup_4314,AI,1,146415500.68,409149699.4438264,8,USA,2005,5.6
4334,Startup_4335,AI,3,2152467655.16,4779640545.91273,27,USA,2016,75.12
4361,Startup_4362,AI,8,3801251750.53,11513755961.70125,50,USA,2000,185.93
4365,Startup_4366,AI,4,572845983.87,2262032436.461532,24,USA,2021,110.91
4366,Startup_4367,AI,3,1721129200.56,4673278971.5460615,9,USA,2015,155.87
4407,Startup_4408,AI,8,3574843731.09,9297980442.065945,2,USA,2004,30.34
4420,Startup_4421,AI,5,1363879703.65,5657362463.589142,23,USA,2017,85.68
4589,Startup_4590,AI,1,4632538668.29,11027591372.092035,18,USA,2013,189.41
4601,Startup_4602,AI,1,2683674262.98,9700078818.821484,34,USA,2012,191.15
4688,Startup_4689,AI,3,3099565039.71,6006419619.210843,37,USA,2001,14.73
4725,Startup_4726,AI,5,1330737177.08,3505588577.152683,6,USA,2023,122.01
4791,Startup_4792,AI,7,1932802874.72,6063712778.752439,10,USA,2005,120.56
4808,Startup_4809,AI,3,1174200941.42,5568271215.807584,18,USA,2016,26.62
4845,Startup_4846,AI,1,188110602.85,340183203.2737387,48,USA,2003,188.01
4910,Startup_4911,AI,3,3143770508.86,6788986633.407625,20,USA,2014,159.05
4979,Startup_4980,AI,1,407353357.32,806443432.6118402,45,USA,2004,75.18
